id,s2_doy,doy,main_stage,main_stage_percent,secondary_stage,secondary_stage_percent,root_est,leaf_devel,squaring,flowering,boll_devel,boll_open,metalabel,sowing_date,harvest_date
14,130,131,2,100,0,,0,2,0,0,0,0,4,30/4/2021,3/10/2021
14,140,140,2,100,0,,0,2,0,0,0,0,4,30/4/2021,3/10/2021
14,148,148,2,100,0,,0,2,0,0,0,0,4,30/4/2021,3/10/2021
14,153,153,2,100,0,,0,2,0,0,0,0,4,30/4/2021,3/10/2021
14,158,159,2,100,0,,0,2,0,0,0,0,4,30/4/2021,3/10/2021
14,160,159,2,100,0,,0,2,0,0,0,0,4,30/4/2021,3/10/2021
14,168,167,2,100,0,,0,2,0,0,0,0,4,30/4/2021,3/10/2021
14,173,174,3,100,0,,0,0,2,0,0,0,7,30/4/2021,3/10/2021
14,175,174,3,100,0,,0,0,2,0,0,0,7,30/4/2021,3/10/2021
14,183,184,3,100,0,,0,0,2,0,0,0,7,30/4/2021,3/10/2021
14,185,184,3,100,0,,0,0,2,0,0,0,7,30/4/2021,3/10/2021
14,193,194,3,100,4,100.0,0,0,2,1,0,0,8,30/4/2021,3/10/2021
14,195,194,3,100,4,100.0,0,0,2,1,0,0,8,30/4/2021,3/10/2021
14,200,201,4,100,5,10.0,0,0,0,2,1,0,11,30/4/2021,3/10/2021
14,215,215,4,100,5,60.0,0,0,0,2,1,0,11,30/4/2021,3/10/2021
14,223,223,4,100,5,80.0,0,0,0,2,1,0,11,30/4/2021,3/10/2021
14,235,235,5,100,6,10.0,0,0,0,0,2,1,14,30/4/2021,3/10/2021
14,245,246,5,100,6,30.0,0,0,0,0,2,1,14,30/4/2021,3/10/2021
14,255,256,6,100,5,100.0,0,0,0,0,1,2,15,30/4/2021,3/10/2021
14,265,265,6,100,5,40.0,0,0,0,0,1,2,15,30/4/2021,3/10/2021
15,125,126,1,40,0,,2,0,0,0,0,0,1,20/4/2021,21/9/2021
15,138,138,2,100,0,,0,2,0,0,0,0,4,20/4/2021,21/9/2021
15,143,144,2,100,0,,0,2,0,0,0,0,4,20/4/2021,21/9/2021
15,145,144,2,100,0,,0,2,0,0,0,0,4,20/4/2021,21/9/2021
15,150,151,2,100,0,,0,2,0,0,0,0,4,20/4/2021,21/9/2021
15,155,155,2,100,0,,0,2,0,0,0,0,4,20/4/2021,21/9/2021
15,160,161,2,100,0,,0,2,0,0,0,0,4,20/4/2021,21/9/2021
15,170,170,2,60,3,40.0,0,2,1,0,0,0,5,20/4/2021,21/9/2021
15,178,177,3,100,0,,0,0,2,0,0,0,7,20/4/2021,21/9/2021
15,188,188,3,100,4,100.0,0,0,2,1,0,0,8,20/4/2021,21/9/2021
15,198,197,4,100,5,20.0,0,0,0,2,1,0,11,20/4/2021,21/9/2021
15,203,204,4,100,5,30.0,0,0,0,2,1,0,11,20/4/2021,21/9/2021
15,205,204,4,100,5,30.0,0,0,0,2,1,0,11,20/4/2021,21/9/2021
15,218,219,4,100,5,60.0,0,0,0,2,1,0,11,20/4/2021,21/9/2021
15,220,219,4,100,5,60.0,0,0,0,2,1,0,11,20/4/2021,21/9/2021
15,230,231,4,100,5,100.0,0,0,0,2,1,0,11,20/4/2021,21/9/2021
15,238,238,5,100,6,20.0,0,0,0,0,2,1,14,20/4/2021,21/9/2021
15,248,248,5,100,6,60.0,0,0,0,0,2,1,14,20/4/2021,21/9/2021
15,258,259,6,100,5,30.0,0,0,0,0,1,2,15,20/4/2021,21/9/2021
15,260,259,6,100,5,30.0,0,0,0,0,1,2,15,20/4/2021,21/9/2021
16,128,128,1,100,0,,2,0,0,0,0,0,1,19/4/2021,21/9/2021
16,138,138,2,100,0,,0,2,0,0,0,0,4,19/4/2021,21/9/2021
16,143,144,2,100,0,,0,2,0,0,0,0,4,19/4/2021,21/9/2021
16,145,144,2,100,0,,0,2,0,0,0,0,4,19/4/2021,21/9/2021
16,150,151,2,100,0,,0,2,0,0,0,0,4,19/4/2021,21/9/2021
16,155,155,2,100,0,,0,2,0,0,0,0,4,19/4/2021,21/9/2021
16,160,161,2,100,0,,0,2,0,0,0,0,4,19/4/2021,21/9/2021
16,170,170,2,100,0,,0,2,0,0,0,0,4,19/4/2021,21/9/2021
16,178,177,3,100,0,,0,0,2,0,0,0,7,19/4/2021,21/9/2021
16,188,188,3,100,4,70.0,0,0,2,1,0,0,8,19/4/2021,21/9/2021
16,198,197,3,100,4,100.0,0,0,2,1,0,0,8,19/4/2021,21/9/2021
16,203,204,4,100,5,10.0,0,0,0,2,1,0,11,19/4/2021,21/9/2021
16,205,204,4,100,5,10.0,0,0,0,2,1,0,11,19/4/2021,21/9/2021
16,218,219,4,100,5,60.0,0,0,0,2,1,0,11,19/4/2021,21/9/2021
16,220,219,4,100,5,60.0,0,0,0,2,1,0,11,19/4/2021,21/9/2021
16,230,231,5,100,4,40.0,0,0,0,1,2,0,12,19/4/2021,21/9/2021
16,238,238,5,100,6,10.0,0,0,0,0,2,1,14,19/4/2021,21/9/2021
16,248,248,5,100,6,60.0,0,0,0,0,2,1,14,19/4/2021,21/9/2021
16,258,259,6,100,5,10.0,0,0,0,0,1,2,15,19/4/2021,21/9/2021
16,260,259,6,100,5,10.0,0,0,0,0,1,2,15,19/4/2021,21/9/2021
17,128,128,1,100,0,,2,0,0,0,0,0,1,19/4/2021,17/9/2021
17,138,138,2,100,0,,0,2,0,0,0,0,4,19/4/2021,17/9/2021
17,145,145,2,100,0,,0,2,0,0,0,0,4,19/4/2021,17/9/2021
17,150,151,2,100,0,,0,2,0,0,0,0,4,19/4/2021,17/9/2021
17,155,155,2,100,0,,0,2,0,0,0,0,4,19/4/2021,17/9/2021
17,160,161,2,100,0,,0,2,0,0,0,0,4,19/4/2021,17/9/2021
17,170,170,3,80,2,20.0,0,1,2,0,0,0,6,19/4/2021,17/9/2021
17,180,180,3,100,0,,0,0,2,0,0,0,7,19/4/2021,17/9/2021
17,188,189,3,100,4,70.0,0,0,2,1,0,0,8,19/4/2021,17/9/2021
17,190,189,3,100,4,70.0,0,0,2,1,0,0,8,19/4/2021,17/9/2021
17,198,198,4,100,5,60.0,0,0,0,2,1,0,11,19/4/2021,17/9/2021
17,205,205,4,100,5,70.0,0,0,0,2,1,0,11,19/4/2021,17/9/2021
17,220,220,4,100,5,90.0,0,0,0,2,1,0,11,19/4/2021,17/9/2021
17,230,231,5,100,4,100.0,0,0,0,1,2,0,12,19/4/2021,17/9/2021
17,238,239,5,100,6,30.0,0,0,0,0,2,1,14,19/4/2021,17/9/2021
17,240,239,5,100,6,30.0,0,0,0,0,2,1,14,19/4/2021,17/9/2021
17,248,248,5,100,6,70.0,0,0,0,0,2,1,14,19/4/2021,17/9/2021
